ds4: Metal device Apple M2 Ultra, 192.00 GiB RAM
ds4: Metal 4 tensor API disabled for pre-M5/pre-A19 devices
ds4: drift-patch flags hc_stable=on norm_unify=on kv_raw_f32=off rope_exp2_log2=off math_safe=off tensor_matmul=off
ds4: Metal model views created in 0.544 ms, residency requested in 98.706 ms, warmup 1.766 ms (mapped 15270.98 MiB from offset 10.49 MiB)
ds4: Metal mapped mmaped model as 1 overlapping shared buffers
ds4: metal backend initialized for graph diagnostics
ds4: memory: KV 0.25 GiB (raw 0.25 + compressed 0.00) + buffers 0.15 GiB + resident model 14.91 GiB = 15.31 GiB planned
ds4: memory detail: ctx=4096 prefill_cap=2048 raw_kv_rows=4096 compressed_kv_rows=0 backend=metal
ds4: memory: KV 0.25 GiB (raw 0.25 + compressed 0.00) + buffers 0.15 GiB = 0.40 GiB context
ds4: memory detail: ctx=4096 prefill_cap=2048 raw_kv_rows=4096 compressed_kv_rows=0 backend=metal
ds4: using GPU graph generation with graph prefill
ds4: using GLM full-attention argmax generation path
ds4: Qwen graph ctx=4096 prefill_chunk=2048 attention_layers=16 kv_cache=0.25 GiB recurrent_layers=48 state=149.6 MiB
processing 20 input tokens: 20/20 (100.0%)
ds4: GLM decode eval 1 took 30.074 ms
ds4: GLM decode eval 2 took 29.675 ms
ds4: GLM decode eval 3 took 29.751 ms
ds4: GLM decode eval 4 took 29.694 ms
ds4: GLM decode eval 5 took 29.614 ms
ds4: GLM decode eval 6 took 29.610 ms
ds4: GLM decode eval 7 took 29.476 ms
ds4: GLM decode eval 8 took 29.744 ms
ds4: GLM decode eval 9 took 29.696 ms
ds4: GLM decode eval 10 took 29.713 ms
ds4: GLM decode eval 11 took 29.700 ms
ds4: GLM decode eval 12 took 29.212 ms
ds4: GLM decode eval 13 took 29.905 ms
ds4: GLM decode eval 14 took 29.838 ms
ds4: GLM decode eval 15 took 29.816 ms
ds4: GLM decode eval 16 took 29.998 ms
ds4: GLM decode eval 17 took 29.804 ms
ds4: GLM decode eval 18 took 29.885 ms
ds4: GLM decode eval 19 took 29.829 ms
ds4: GLM decode eval 20 took 29.949 ms
ds4: GLM decode eval 21 took 29.800 ms
ds4: GLM decode eval 22 took 29.852 ms
ds4: GLM decode eval 23 took 29.866 ms
ds4: GLM decode eval 24 took 29.784 ms
ds4: GLM decode eval 25 took 29.881 ms
ds4: GLM decode eval 26 took 29.960 ms
ds4: GLM decode eval 27 took 29.913 ms
ds4: GLM decode eval 28 took 29.782 ms
ds4: GLM decode eval 29 took 29.794 ms
ds4: GLM decode eval 30 took 29.870 ms
ds4: GLM decode eval 31 took 29.770 ms
ds4: GLM decode eval 32 took 29.920 ms
ds4: GLM decode eval 33 took 29.820 ms
ds4: GLM decode eval 34 took 29.871 ms
ds4: GLM decode eval 35 took 29.871 ms
ds4: GLM decode eval 36 took 29.886 ms
ds4: GLM decode eval 37 took 29.928 ms
ds4: GLM decode eval 38 took 29.878 ms
ds4: GLM decode eval 39 took 29.928 ms
ds4: GLM decode eval 40 took 29.817 ms
ds4: GLM decode eval 41 took 29.817 ms
ds4: GLM decode eval 42 took 29.795 ms
ds4: GLM decode eval 43 took 29.793 ms
ds4: GLM decode eval 44 took 29.416 ms
ds4: GLM decode eval 45 took 30.479 ms
ds4: GLM decode eval 46 took 30.164 ms
ds4: GLM decode eval 47 took 30.339 ms
ds4: GLM decode eval 48 took 30.136 ms
ds4: GLM decode eval 49 took 30.236 ms
ds4: GLM decode eval 50 took 30.207 ms
ds4: GLM decode eval 51 took 30.214 ms
ds4: GLM decode eval 52 took 30.204 ms
ds4: GLM decode eval 53 took 30.277 ms
ds4: GLM decode eval 54 took 30.201 ms
ds4: GLM decode eval 55 took 30.225 ms
ds4: GLM decode eval 56 took 30.169 ms
ds4: GLM decode eval 57 took 30.278 ms
ds4: GLM decode eval 58 took 30.430 ms
ds4: GLM decode eval 59 took 30.167 ms
ds4: GLM decode eval 60 took 30.168 ms
ds4: GLM decode eval 61 took 30.266 ms
ds4: GLM decode eval 62 took 30.389 ms
ds4: GLM decode eval 63 took 30.288 ms
ds4: GLM prefill: 83.35 t/s, generation: 33.84 t/s
