ds4: Metal device Apple M2 Ultra, 192.00 GiB RAM
ds4: Metal 4 tensor API disabled for pre-M5/pre-A19 devices
ds4: drift-patch flags hc_stable=on norm_unify=on kv_raw_f32=off rope_exp2_log2=off math_safe=off tensor_matmul=off
ds4: Metal model views created in 0.473 ms, residency requested in 98.902 ms, warmup 2.281 ms (mapped 15270.98 MiB from offset 10.49 MiB)
ds4: Metal mapped mmaped model as 1 overlapping shared buffers
ds4: metal backend initialized for graph diagnostics
ds4: memory: KV 0.25 GiB (raw 0.25 + compressed 0.00) + buffers 0.15 GiB + resident model 14.91 GiB = 15.31 GiB planned
ds4: memory detail: ctx=4096 prefill_cap=2048 raw_kv_rows=4096 compressed_kv_rows=0 backend=metal
ds4: memory: KV 0.25 GiB (raw 0.25 + compressed 0.00) + buffers 0.15 GiB = 0.40 GiB context
ds4: memory detail: ctx=4096 prefill_cap=2048 raw_kv_rows=4096 compressed_kv_rows=0 backend=metal
ds4: using GPU graph generation with graph prefill
ds4: using GLM full-attention argmax generation path
ds4: Qwen graph ctx=4096 prefill_chunk=2048 attention_layers=16 kv_cache=0.25 GiB recurrent_layers=48 state=149.6 MiB
processing 20 input tokens: 20/20 (100.0%)
ds4: GLM decode eval 1 took 32.705 ms
ds4: GLM decode eval 2 took 30.256 ms
ds4: GLM decode eval 3 took 30.161 ms
ds4: GLM decode eval 4 took 30.256 ms
ds4: GLM decode eval 5 took 30.212 ms
ds4: GLM decode eval 6 took 30.304 ms
ds4: GLM decode eval 7 took 30.225 ms
ds4: GLM decode eval 8 took 30.305 ms
ds4: GLM decode eval 9 took 30.219 ms
ds4: GLM decode eval 10 took 30.300 ms
ds4: GLM decode eval 11 took 30.230 ms
ds4: GLM decode eval 12 took 30.786 ms
ds4: GLM decode eval 13 took 30.590 ms
ds4: GLM decode eval 14 took 30.427 ms
ds4: GLM decode eval 15 took 30.469 ms
ds4: GLM decode eval 16 took 30.474 ms
ds4: GLM decode eval 17 took 30.415 ms
ds4: GLM decode eval 18 took 30.442 ms
ds4: GLM decode eval 19 took 30.556 ms
ds4: GLM decode eval 20 took 30.439 ms
ds4: GLM decode eval 21 took 30.485 ms
ds4: GLM decode eval 22 took 30.504 ms
ds4: GLM decode eval 23 took 30.488 ms
ds4: GLM decode eval 24 took 30.436 ms
ds4: GLM decode eval 25 took 30.566 ms
ds4: GLM decode eval 26 took 30.312 ms
ds4: GLM decode eval 27 took 30.538 ms
ds4: GLM decode eval 28 took 30.562 ms
ds4: GLM decode eval 29 took 30.495 ms
ds4: GLM decode eval 30 took 30.462 ms
ds4: GLM decode eval 31 took 30.500 ms
ds4: GLM decode eval 32 took 30.511 ms
ds4: GLM decode eval 33 took 30.589 ms
ds4: GLM decode eval 34 took 30.575 ms
ds4: GLM decode eval 35 took 30.552 ms
ds4: GLM decode eval 36 took 30.557 ms
ds4: GLM decode eval 37 took 30.559 ms
ds4: GLM decode eval 38 took 30.501 ms
ds4: GLM decode eval 39 took 30.545 ms
ds4: GLM decode eval 40 took 30.552 ms
ds4: GLM decode eval 41 took 30.494 ms
ds4: GLM decode eval 42 took 30.560 ms
ds4: GLM decode eval 43 took 30.516 ms
ds4: GLM decode eval 44 took 29.945 ms
ds4: GLM decode eval 45 took 32.663 ms
ds4: GLM decode eval 46 took 30.854 ms
ds4: GLM decode eval 47 took 30.831 ms
ds4: GLM decode eval 48 took 30.912 ms
ds4: GLM decode eval 49 took 30.824 ms
ds4: GLM decode eval 50 took 30.803 ms
ds4: GLM decode eval 51 took 30.817 ms
ds4: GLM decode eval 52 took 31.254 ms
ds4: GLM decode eval 53 took 30.832 ms
ds4: GLM decode eval 54 took 30.841 ms
ds4: GLM decode eval 55 took 30.703 ms
ds4: GLM decode eval 56 took 30.865 ms
ds4: GLM decode eval 57 took 30.929 ms
ds4: GLM decode eval 58 took 30.814 ms
ds4: GLM decode eval 59 took 30.934 ms
ds4: GLM decode eval 60 took 30.847 ms
ds4: GLM decode eval 61 took 30.953 ms
ds4: GLM decode eval 62 took 30.809 ms
ds4: GLM decode eval 63 took 30.810 ms
ds4: GLM prefill: 74.73 t/s, generation: 33.05 t/s
