ds4: Metal device Apple M2 Ultra, 192.00 GiB RAM
ds4: Metal 4 tensor API disabled for pre-M5/pre-A19 devices
ds4: drift-patch flags hc_stable=on norm_unify=on kv_raw_f32=off rope_exp2_log2=off math_safe=off tensor_matmul=off
ds4: Metal model views created in 0.825 ms, residency requested in 183.728 ms, warmup 2.516 ms (mapped 27690.98 MiB from offset 10.49 MiB)
ds4: Metal mapped mmaped model as 1 overlapping shared buffers
ds4: metal backend initialized for graph diagnostics
ds4: memory: KV 0.25 GiB (raw 0.25 + compressed 0.00) + buffers 0.15 GiB + resident model 27.04 GiB = 27.44 GiB planned
ds4: memory detail: ctx=4096 prefill_cap=2048 raw_kv_rows=4096 compressed_kv_rows=0 backend=metal
ds4: memory: KV 0.25 GiB (raw 0.25 + compressed 0.00) + buffers 0.15 GiB = 0.40 GiB context
ds4: memory detail: ctx=4096 prefill_cap=2048 raw_kv_rows=4096 compressed_kv_rows=0 backend=metal
ds4: using GPU graph generation with graph prefill
ds4: using GLM full-attention argmax generation path
ds4: Qwen graph ctx=4096 prefill_chunk=2048 attention_layers=16 kv_cache=0.25 GiB recurrent_layers=48 state=149.6 MiB
processing 20 input tokens: 20/20 (100.0%)
ds4: GLM decode eval 1 took 44.192 ms
ds4: GLM decode eval 2 took 43.848 ms
ds4: GLM decode eval 3 took 45.527 ms
ds4: GLM decode eval 4 took 43.940 ms
ds4: GLM decode eval 5 took 43.867 ms
ds4: GLM decode eval 6 took 45.040 ms
ds4: GLM decode eval 7 took 43.878 ms
ds4: GLM decode eval 8 took 43.849 ms
ds4: GLM decode eval 9 took 43.853 ms
ds4: GLM decode eval 10 took 44.008 ms
ds4: GLM decode eval 11 took 44.184 ms
ds4: GLM decode eval 12 took 43.626 ms
ds4: GLM decode eval 13 took 44.150 ms
ds4: GLM decode eval 14 took 44.163 ms
ds4: GLM decode eval 15 took 44.067 ms
ds4: GLM decode eval 16 took 44.093 ms
ds4: GLM decode eval 17 took 44.097 ms
ds4: GLM decode eval 18 took 44.150 ms
ds4: GLM decode eval 19 took 44.353 ms
ds4: GLM decode eval 20 took 44.031 ms
ds4: GLM decode eval 21 took 44.091 ms
ds4: GLM decode eval 22 took 44.096 ms
ds4: GLM decode eval 23 took 43.977 ms
ds4: GLM decode eval 24 took 44.204 ms
ds4: GLM decode eval 25 took 44.144 ms
ds4: GLM decode eval 26 took 44.082 ms
ds4: GLM decode eval 27 took 44.089 ms
ds4: GLM decode eval 28 took 44.017 ms
ds4: GLM decode eval 29 took 43.952 ms
ds4: GLM decode eval 30 took 44.026 ms
ds4: GLM decode eval 31 took 44.024 ms
ds4: GLM decode eval 32 took 45.007 ms
ds4: GLM decode eval 33 took 44.085 ms
ds4: GLM decode eval 34 took 44.078 ms
ds4: GLM decode eval 35 took 44.027 ms
ds4: GLM decode eval 36 took 44.039 ms
ds4: GLM decode eval 37 took 43.984 ms
ds4: GLM decode eval 38 took 43.993 ms
ds4: GLM decode eval 39 took 44.126 ms
ds4: GLM decode eval 40 took 44.071 ms
ds4: GLM decode eval 41 took 44.091 ms
ds4: GLM decode eval 42 took 44.182 ms
ds4: GLM decode eval 43 took 43.987 ms
ds4: GLM decode eval 44 took 43.555 ms
ds4: GLM decode eval 45 took 44.705 ms
ds4: GLM decode eval 46 took 44.345 ms
ds4: GLM decode eval 47 took 44.359 ms
ds4: GLM decode eval 48 took 44.355 ms
ds4: GLM decode eval 49 took 44.344 ms
ds4: GLM decode eval 50 took 44.318 ms
ds4: GLM decode eval 51 took 44.371 ms
ds4: GLM decode eval 52 took 44.313 ms
ds4: GLM decode eval 53 took 44.442 ms
ds4: GLM decode eval 54 took 44.318 ms
ds4: GLM decode eval 55 took 44.327 ms
ds4: GLM decode eval 56 took 44.325 ms
ds4: GLM decode eval 57 took 44.318 ms
ds4: GLM decode eval 58 took 44.298 ms
ds4: GLM decode eval 59 took 44.367 ms
ds4: GLM decode eval 60 took 44.394 ms
ds4: GLM decode eval 61 took 44.324 ms
ds4: GLM decode eval 62 took 44.363 ms
ds4: GLM decode eval 63 took 44.383 ms
ds4: GLM prefill: 83.83 t/s, generation: 22.95 t/s
